Chat ID,Test ID,Scenario Name,Description/Purpose,How To Start Testing,Input Type,Model,Image Input (Base64 format),Text Input,Model Result (Output),Workflow Name,Workflow Start Time,Workflow End Time,Workflow Time (HH:mm:ss.ms),Workflow Time (in second),Model Start Time,Model End Time,Model Response Time (HH:mm:ss.ms),Model Time (in second),Success (Y/N),Error Message (If Any),CPU Usage per second (%),Avg CPU Usage (%),GPU Usage per second (%),Avg GPU Usage (%),Memory Usage per second (MB),Avg Memory Usage (MB),Throughput (req/min) - per min,Throughput (req/sec) - per sec,Notes / Observations
1475432104,1,Text Input - Model A,Test response and processing time for text-only input on Model A,Trigger n8n viaTelegram bot with plain text input.,Text Only,minicpm-o-2_6,...,"/promptText Analyze the tone of this product review and classify it as Positive, Negative, or Neutral: The laptop performs decently for everyday tasks, but the battery life is shorter than advertised.","The tone in this statement can be classified as Neutral with slightly negative undertones due to mentioning that 'the battery life' (a specific feature) was not up to expectations ('shorter than advertised'). However, it's important noting there isn't any strong positive or highly critical language used throughout the review.",CSBI Bot 1,2025-07-24T03:16:00.411Z,"""2025-07-24T03:16:33.788Z""",00:00:33.377,33,2025-07-24T03:16:00.416Z,2025-07-24T03:16:04.989Z,00:00:04.989,5,Yes,,"[67,67,67,67,67]",67,"[0,4,4,5,5]",3.6,"[6947,7012,7019,7022,7034]",7007,12.03,0.2004,
1475432104,2,Text Input - Model B,Same as #1 but using Model B to compare performance,Trigger n8n viaTelegram bot with plain text input.,Text Only,gemma-3-12b-it,...,"/promptText Analyze the tone of this product review and classify it as Positive, Negative, or Neutral: The laptop performs decently for everyday tasks, but the battery life is shorter than advertised.","The tone of this review is **Neutral**.

Here's why:

*   **Positive Element:** ""Performs decently for everyday tasks"" indicates a satisfactory level of performance.
*   **Negative Element:** ""Battery life is shorter than advertised"" points out a significant drawback and disappointment.
*   **Overall Balance:** The review presents both positive and negative aspects without strong emotional language or exaggeration. It's factual and balanced, making it neutral overall.



It doesn't lean heavily towards either extreme (raving praise or outright condemnation).",CSBI Bot 1,2025-07-24T03:16:00.411Z,"""2025-07-24T03:16:33.788Z""",00:00:33.377,33,2025-07-24T03:16:04.993Z,2025-07-24T03:16:21.656Z,00:00:17.656,17,Yes,,"[67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68]",67.29,"[5,2,1,2,2,3,3,3,3,3,3,2,2,2,2,3,2]",2.53,"[7052,7134,7124,7124,7117,7117,7125,7129,7119,7121,7105,7085,7099,7078,7071,7076,7086]",7104,3.4,0.0566,
1475432104,3,Text Input - Model C,Same as #1 but using Model C,Trigger n8n viaTelegram bot with plain text input.,Text Only,pixtral-12b,...,"/promptText Analyze the tone of this product review and classify it as Positive, Negative, or Neutral: The laptop performs decently for everyday tasks, but the battery life is shorter than advertised.","The tone of this product review can be classified as **Negative**. While the reviewer acknowledges that the laptop performs adequately for basic tasks, they express dissatisfaction with the battery life, stating that it falls short of the manufacturer's claims. This indicates a critical and unsatisfied perspective on the product.",CSBI Bot 1,2025-07-24T03:16:00.411Z,"""2025-07-24T03:16:33.789Z""",00:00:33.378,33,2025-07-24T03:16:21.661Z,2025-07-24T03:16:29.453Z,00:00:08.453,8,Yes,,"[68,68,68,68,68,68,68,68]",68,"[2,3,3,2,2,2,2,2]",2.25,"[7097,7152,7167,7156,7134,7142,7142,7137]",7141,7.1,0.1183,
1475432104,4,Text Input - Model D,Same as #1 but using Model D,Trigger n8n viaTelegram bot with plain text input.,Text Only,qwen2-vl-7b-instruct,...,"/promptText Analyze the tone of this product review and classify it as Positive, Negative, or Neutral: The laptop performs decently for everyday tasks, but the battery life is shorter than advertised.","The tone of this product review can be classified as Neutral. It neither expresses strong positive nor negative emotions towards the product. The reviewer mentions that the laptop performs decently for everyday tasks and has a shorter battery life than advertised, which is a neutral observation rather than an enthusiastic or critical statement.",CSBI Bot 1,2025-07-24T03:16:00.411Z,"""2025-07-24T03:16:33.789Z""",00:00:33.378,33,2025-07-24T03:16:29.457Z,2025-07-24T03:16:33.783Z,00:00:04.783,4,Yes,,"[68,68,68,68,68]",68,"[3,4,4,5,5]",4.2,"[7138,7194,7197,7203,7197]",7186,12.54,0.2091,
1475432104,5,Text+Image Input – Model A,Test text + image input handling by Model A,Upload text+image via Telegram bot or webhook file input with caption.,Text + Image,minicpm-o-2_6,/9j/4AAQSkZJRgABAQEASABIAAD/2wBDAAQDAwQDAwQEAwQFBAQFBgoHBgYGBg0JCggKDw0QEA8NDw4R...,"/generateImageText Describe the scene in detail, including the people, activities, time of day, and environment.","The image depicts an outdoor setting where several individuals appear to be enjoying their leisure time on what seems like grassy ground or lawn area during daytime hours under bright sunlight conditions.

In this particular instance:

1. There are multiple groups scattered across different spots within the scene.
2. People can either sit, lie down (on blankets), stand up from chairs and tables nearby if present; some might also be engaged in conversations with others around them while taking advantage of good weather for outdoor activities like picnicking or socializing.

The overall atmosphere suggests a relaxed environment where individuals are spending quality time together outdoors.",CSBI Bot 1,2025-07-24T03:33:00.015Z,2025-07-24T03:34:56.224Z,00:01:56.209,116,2025-07-24T03:33:02.163Z,2025-07-24T03:33:12.443Z,00:00:10.443,10,Yes,,"[68,68,68,68,68,68,68,68,69,69]",68.2,"[0,62,3,4,5,5,5,5,5,5]",9.9,"[7206,7285,7288,7293,7289,7291,7306,7298,7298,7297]",7285,5.75,0.0958,
1475432104,6,Text+Image Input – Model B,Same as #5 with Model B,Upload text+image via Telegram bot or webhook.,Text + Image,gemma-3-12b-it,/9j/4AAQSkZJRgABAQEASABIAAD/2wBDAAQDAwQDAwQEAwQFBAQFBgoHBgYGBg0JCggKDw0QEA8NDw4R...,"/generateImageText Describe the scene in detail, including the people, activities, time of day, and environment.","Here's a detailed description of the scene depicted in the image:

**Overall Impression:** The photo captures a relaxed, sunny afternoon in what appears to be a public park or green space. It has a casual, candid feel, suggesting a moment of leisure and enjoyment. 

**Environment:**

*   **Setting:** A large, grassy area dominates the scene. Lush green grass covers most of the ground.
*   **Background:** Behind the people, there's dense foliage – likely trees and bushes – creating a natural backdrop.  A body of water (possibly a lake or pond) is visible through the greenery, reflecting sunlight which creates a bright, shimmering effect. 
*   **Lighting:** The scene is bathed in warm, golden light, indicating it’s likely late afternoon or early evening. Shadows are present but not harsh, suggesting diffused sunlight.

**People & Activities:**

*   **Foreground Couple:** A young couple lies on the grass, intertwined. The woman has long blonde hair and wears a striped top. The man is wearing a hoodie. They appear to be relaxed and engaged in conversation or simply enjoying each other's company.
*   **Background Group:** Several other people are scattered throughout the grassy area. Some are sitting, some are lying down, and others seem to be talking or socializing. There’s a group gathered around what looks like a picnic blanket. 
*   **Activities:** The overall activity seems to be relaxation and socializing – picnicking, chatting, sunbathing, and simply enjoying the outdoors.

**Time of Day:** As mentioned earlier, the warm light suggests late afternoon or early evening.



Let me know if you'd like a more specific description of any aspect!",CSBI Bot 1,2025-07-24T03:33:00.015Z,2025-07-24T03:34:56.224Z,00:01:56.209,116,2025-07-24T03:33:12.447Z,2025-07-24T03:34:07.532Z,00:00:55.532,55,Yes,,"[69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73]",71.15,"[5,90,0,2,3,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,3,3,2,2,3]",3.93,"[7283,7317,7318,7320,7312,7311,7327,7330,7328,7341,7356,7334,7324,7309,7303,7308,7304,7308,7315,7327,7318,7314,7319,7307,7305,7310,7306,7299,7297,7299,7303,7312,7312,7316,7315,7303,7303,7303,7300,7302,7296,7313,7310,7306,7304,7314,7307,7326,7309,7291,7290,7304,7319,7329]",7312,1.08,0.018,
1475432104,7,Text+Image Input – Model C,Same as #5 with Model C,Upload text+image via Telegram bot or webhook.,Text + Image,pixtral-12b,/9j/4AAQSkZJRgABAQEASABIAAD/2wBDAAQDAwQDAwQEAwQFBAQFBgoHBgYGBg0JCggKDw0QEA8NDw4R...,"/generateImageText Describe the scene in detail, including the people, activities, time of day, and environment.","The image depicts a serene outdoor setting with several individuals enjoying their time on a grassy area near a body of water. The scene is set during daylight hours, possibly late afternoon or early evening given the soft lighting.

In the foreground, there are two people lying down on the grass, seemingly engaged in conversation or simply relaxing. One person has blonde hair and is wearing casual clothing, while the other appears to be resting their head on a bag or backpack. Their relaxed postures suggest they are comfortable and at ease in this environment.

Further back, several groups of people can be seen sitting on blankets spread out on the grass. These individuals appear to be socializing, possibly sharing food or drinks as some have bags and containers nearby. The groups vary in size, with some having only two members while others consist of three or more people.

The background features a body of water, likely a lake or river, bordered by dense greenery such as trees and bushes. This natural setting adds to the tranquil atmosphere of the scene.

Overall, the image captures a moment of leisure and relaxation in an outdoor environment where individuals are enjoying each other's company amidst nature.",CSBI Bot 1,2025-07-24T03:33:00.015Z,2025-07-24T03:34:56.224Z,00:01:56.209,116,2025-07-24T03:34:07.538Z,2025-07-24T03:34:40.237Z,00:00:33.237,33,Yes,,"[73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76]",74.47,"[2,93,0,3,2,2,4,2,4,4,2,3,4,4,4,2,2,4,2,4,2,2,4,2,4,2,2,4,2,2,2,4]",5.59,"[7315,7396,7404,7404,7390,7386,7384,7388,7378,7363,7358,7355,7365,7365,7363,7363,7363,7355,7359,7353,7351,7368,7368,7361,7357,7355,7358,7372,7365,7367,7382,7385]",7369,1.81,0.0301,
1475432104,8,Text+Image Input – Model D,Same as #5 with Model D,Upload text+image via Telegram bot or webhook.,Text + Image,qwen2-vl-7b-instruct,/9j/4AAQSkZJRgABAQEASABIAAD/2wBDAAQDAwQDAwQEAwQFBAQFBgoHBgYGBg0JCggKDw0QEA8NDw4R...,"/generateImageText Describe the scene in detail, including the people, activities, time of day, and environment.","The image depicts a sunny day at what appears to be a park or open green space. The grass is lush and well-maintained, indicating it might be a public area designed for relaxation and leisure. There are several people in the scene, engaged in various activities:

1. **Foreground**: Two individuals are lying on the grass, facing each other. They seem to be enjoying a conversation or simply relaxing together.
2. **Background**: Multiple people are scattered throughout the background, some sitting while others lie down. They appear to be enjoying the pleasant weather and the natural surroundings.
3. **Environment**: The area is surrounded by greenery, with trees and bushes visible in the distance. The sky is clear, suggesting it is a bright and sunny day.

The overall atmosphere of the scene is calm and relaxed, typical of a leisurely day spent outdoors.",CSBI Bot 1,2025-07-24T03:33:00.015Z,2025-07-24T03:34:56.225Z,00:01:56.210,116,2025-07-24T03:34:40.241Z,2025-07-24T03:34:53.267Z,00:00:13.267,13,Yes,,"[76,76,76,76,76,76,76,76,77,77,77,77,77]",76.38,"[4,0,5,5,5,5,5,5,5,5,5,5,5]",4.54,"[7382,7423,7425,7424,7417,7403,7411,7414,7410,7397,7401,7389,7391]",7407,4.52,0.0754,
1475432104,9,Image Only Input – Model A,Test image-only input processing by Model A,Upload image-only input via Telegram bot or webhook file input.,Image Only,minicpm-o-2_6,/9j/4AAQSkZJRgABAQEASABIAAD/4gIcSUNDX1BST0ZJTEUAAQEAAAIMbGNtcwIQAABtbnRyUkdCIFhZ...,,"The image features an urban street scene with cherry blossom trees lining both sides of the road in full bloom during springtime. The presence of these beautiful flowers creates picturesque surroundings that enhance visual appeal and provide natural beauty amidst city life.

In addition to this stunning display, there are several elements present on or near roads within sight:

1. A traffic light is visible at an intersection.
2. Multiple cars can be seen driving down the street in various directions (left-to-right).
3. People walking along sidewalks add a sense of liveliness and activity typical for city environments.

The combination of natural beauty from cherry blossoms with urban infrastructure like roads, vehicles, pedestrians creates interesting contrasts between nature's splendor against man-made structures that define modern cities' character.",CSBI Bot 1,2025-07-24T03:41:17.855Z,"""2025-07-24T03:42:59.619Z""",00:01:41.764,102,2025-07-24T03:41:20.233Z,2025-07-24T03:41:32.158Z,00:00:12.158,12,Yes,,"[77,77,77,77,77,77,77,77,77,77,78,78]",77.17,"[0,95,4,3,5,5,5,5,4,5,5,5]",11.75,"[7365,7429,7434,7437,7448,7437,7436,7437,7431,7420,7417,7408]",7425,4.94,0.0823,
1475432104,10,Image Only Input – Model B,Same as #9 with Model B,Upload image-only input via Telegram bot or webhook.,Image Only,gemma-3-12b-it,/9j/4AAQSkZJRgABAQEASABIAAD/4gIcSUNDX1BST0ZJTEUAAQEAAAIMbGNtcwIQAABtbnRyUkdCIFhZ...,,"Here's a breakdown of the image you sent:

**Overall Impression:**

The photo captures a beautiful scene of a street lined with cherry blossom trees in full bloom. It evokes a sense of tranquility and springtime beauty, even within an urban setting. The composition is well-balanced, drawing the eye down the road towards the distant cityscape. 

**Key Elements & Details:**

*   **Cherry Blossoms (Sakura):** These are the dominant feature, creating a stunning canopy overhead. Their delicate white/pink flowers are in full bloom, suggesting it's springtime in Japan.
*   **Street Scene:** The road is relatively empty with a few pedestrians and vehicles passing by. This adds to the peaceful atmosphere.
*   **Urban Setting:** Buildings line both sides of the street, indicating this is an urban area (likely Tokyo). Modern skyscrapers are visible in the background.
*   **Traffic Signals & Street Signs:** These elements ground the scene in reality, reminding us that it's a functional city street despite its beauty.
*   **Color Palette:** The image has a soft, muted color palette with whites, pinks, and grays dominating. This contributes to the serene mood.

**Possible Location:**

Based on the architecture and cherry blossom trees, this is likely a photo taken in Tokyo, Japan during *sakura* season (cherry blossom viewing). It could be along one of the famous cherry blossom avenues like Shinjuku Gyoen or Ueno Park.



Let me know if you'd like to explore any specific aspect of the image further!",CSBI Bot 1,2025-07-24T03:41:17.855Z,"""2025-07-24T03:42:59.619Z""",00:01:41.764,102,2025-07-24T03:41:32.162Z,2025-07-24T03:42:21.887Z,00:00:49.887,50,Yes,,"[78,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,83]",80.49,"[5,90,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3,2,2,3,3,2]",4.24,"[7416,7441,7443,7447,7443,7454,7452,7438,7444,7440,7443,7437,7431,7424,7425,7429,7424,7430,7423,7423,7416,7418,7431,7434,7439,7435,7433,7434,7432,7418,7427,7424,7421,7426,7431,7440,7450,7425,7431,7445,7428,7423,7422,7433,7434,7437,7437,7452,7448]",7433,1.2,0.02,
